userID;condition;rep_0--ecc_0--tech_3;rep_0--ecc_1--tech_3;rep_1--ecc_0--tech_3;rep_1--ecc_1--tech_3;rep_2--ecc_0--tech_3;rep_2--ecc_1--tech_3;rep_3--ecc_0--tech_3;rep_3--ecc_1--tech_3;rep_4--ecc_0--tech_3;rep_4--ecc_1--tech_3;rep_5--ecc_0--tech_3;rep_5--ecc_1--tech_3;rep_6--ecc_0--tech_3;rep_6--ecc_1--tech_3;rep_7--ecc_0--tech_3;rep_7--ecc_1--tech_3;rep_8--ecc_0--tech_3;rep_8--ecc_1--tech_3;rep_9--ecc_0--tech_3;rep_9--ecc_1--tech_3
MWa;H;642;726;663;1055;945;5005;727;1365;677;2822;667;748;913;5021;769;4333;714;5004;852;5018
MWa;AF;548;998;765;848;1412;845;698;765;715;865;748;799;715;1012;698;795;682;765;711;865
MWa;SL;1163;1129;608;996;658;846;545;946;628;762;996;829;541;612;716;858;662;1346;612;775
MWa;AF;631;725;921;857;640;685;710;1033;682;685;814;1152;798;1043;703;1140;677;1212;802;800
2;AF;1248;1443;1075;1563;1148;1378;1050;1749;1278;1510;898;5001;1124;784;1282;950;1407;1369;1283;1093
2;SL;792;1469;962;1446;679;1129;773;1729;2013;1066;794;1258;727;1077;2094;844;1126;902;881;1061
2;H;1119;5000;768;5001;643;4471;3350;1815;1164;1735;836;1046;1103;5002;825;5008;1449;1077;910;5001
3;AF;1265;2416;815;1049;965;1182;1315;2129;665;782;1786;1836;1399;1382;1015;1115;1069;752;1365;1679
3;H;4334;5005;697;5001;1131;5001;1815;2516;798;5001;931;885;931;5018;730;5001;1198;5001;761;5001
3;SL;1496;928;832;1283;962;1046;842;1701;812;1213;828;1325;850;1079;595;1429;846;1496;1108;829
4;SL;2647;928;946;1780;1226;1730;1646;1429;1730;946;1813;662;1179;1196;1630;1463;846;1429;1580;1216
4;AF;998;1215;1449;5002;1265;2099;1299;3121;2316;1152;1119;1165;1065;2433;1182;1069;1065;1799;2253;4138
4;H;651;869;935;5001;1348;2616;264;5000;1198;5001;881;5001;4147;977;764;781;1398;5006;814;1631
5;SL;913;946;979;845;796;695;829;1413;829;1012;1213;1100;812;762;861;962;1062;745;796;1229
5;H;814;2582;964;5018;764;5001;1998;5001;1277;1014;5001;5001;1331;877;1048;5001;3253;2099;2078;3049
5;AF;1015;978;911;932;915;1382;948;4719;1599;865;949;661;849;999;882;685;1249;1065;1115;3200
6;H;1915;5005;1662;5004;770;5000;543;1131;464;5009;799;3963;1164;1217;831;5004;792;1135;710;1551
6;SL;829;679;679;566;716;682;495;1142;717;1311;405;679;677;841;756;941;779;740;610;1187
6;AF;698;2683;1132;1065;1336;982;911;1566;965;982;949;2033;882;1578;936;1212;1015;1465;832;1269
7;H;5001;5001;5001;5008;5018;5001;1582;5005;944;5001;5001;5001;1147;5001;797;5000;1181;1465;1131;5001
7;AF;961;2379;1032;1399;1315;1482;815;1432;1132;1149;1286;1432;1645;1553;982;965;915;1148;1099;865
7;SL;762;958;1017;1163;825;1329;863;979;962;795;879;1113;746;962;983;1062;842;1329;962;1112
8;AF;1065;1620;1266;1082;845;1820;1245;1432;1037;1399;1215;1425;1232;1332;1199;1629;1232;1198;1132;765
8;SL;966;1622;1743;1530;1130;1111;1209;1580;1116;1376;1179;1830;879;1579;1075;1267;1213;1095;1179;2212
8;H;648;1282;868;5001;2532;5001;864;5001;1177;5018;881;5002;1110;5018;1048;5002;1198;5001;1098;5005
